1,Punishment,siswa datang terlambat karena kesiangan,10
2,Punishment,siswa telat masuk sekolah dan dihukum,10
3,Punishment,siswa terlambat mengikuti upacara bendera,10
4,Punishment,siswa terlambat saat ada razia di pintu gerbang,10
5,Punishment,siswa melompat pagar sekolah karena terlambat,10
6,Punishment,siswa telat mengumpulkan tugas sekolah,10
7,Punishment,siswa nongkrong di warung saat jam pelajaran dan terlambat masuk,10
8,Punishment,siswa telat masuk sekolah tanpa keterangan atau alpha,10
9,Punishment,siswa terlambat mengikuti ujian sekolah,10
10,Punishment,siswa dihukum di lapangan sekolah karena telat,10
11,Punishment,siswa membuang sampah sembarangan di lingkungan sekolah,10
12,Punishment,siswa mencoret meja belajar menggunakan spidol,10
13,Punishment,siswa mengotori dinding toilet sekolah,10
14,Punishment,siswa meninggalkan lingkungan dalam kondisi kotor dan sampah berserakan,10
15,Punishment,siswa menyumbat wastafel sekolah dengan sampah,10
16,Punishment,siswa menendang pintu fasilitas sekolah sampai rusak dan patah,10
17,Punishment,siswa mencoret dinding sekolah dengan cat piloks,10
18,Punishment,siswa merusak saklar lampu kelas,10
19,Punishment,siswa mematahkan penggaris inventaris kelas,10
20,Punishment,siswa melempari kaca jendela hingga retak,10
21,Punishment,siswa merobek buku perpustakaan sekolah,10
22,Punishment,siswa merusak jaring net olahraga,10
23,Punishment,siswa mencopot tanaman dan merusak pot bunga sekolah,10
24,Punishment,siswa menggores mobil guru menggunakan paku,10
25,Punishment,siswa merusak kran air hingga patah,10
26,Punishment,siswa membawa memakai penjual atau mengedar alkohol judi online narkoba dan psikotropika,100
27,Punishment,siswa merampas atau mencuri milik orang lain baik di sekolah maupun di luar sekolah,100
28,Punishment,siswa berkelahi melakukan penganiayaan atau membuat keonaran yang mengganggu ketertiban,100
29,Punishment,siswa hamil menghamili melakukan pemerkosaan atau menikah selama masa sekolah,100
30,Punishment,siswa ditato ditindik atau ditendok oleh diri sendiri maupun orang lain,100
31,Punishment,siswa memalsukan surat atau tanda tangan pejabat sekolah,50
32,Punishment,siswa menghina memfitnah atau merendahkan kepala sekolah guru tu dan karyawan sekolah,50
33,Punishment,siswa membawa senjata tajam senjata api atau alat lain yang membahayakan,50
